"DATE","RENTED_BIKE_COUNT","TEMPERATURE","HUMIDITY","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","RAINFALL","SNOWFALL","FUNCTIONING_DAY","AUTUMN","SPRING","SUMMER","WINTER","HOLIDAY","NO_HOLIDAY","-1.66122994540396","-1.51677516754275","-1.37232038968153","-1.22786561182032","-1.08341083395911","-0.938956056097891","-0.794501278236677","-0.650046500375463","-0.505591722514249","-0.361136944653035","-0.216682166791821","-0.072227388930607","0.072227388930607","0.216682166791821","0.361136944653035","0.505591722514249","0.650046500375463","0.794501278236677","0.938956056097891","1.08341083395911","1.22786561182032","1.37232038968153","1.51677516754275","1.66122994540396"
"01/12/2017",-0.739715321588351,-1.51265673940838,-1.04242338044138,0.458449606509224,0.925818499724256,-1.65950994372557,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.817554364526569,-1.53777434852606,-0.993313287978857,-0.892510548767128,0.925818499724256,-1.65950994372557,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.865814571148263,-1.57963703038885,-0.944203195516334,-0.699516240870507,0.925818499724256,-1.66716669503259,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.96856210782671,-1.59638210313396,-0.895093103053811,-0.796013394818817,0.925818499724256,-1.65950994372557,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-1.01370875273088,-1.57963703038885,-1.0915334729039,0.554946760457535,0.925818499724256,-1.73607745679574,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.979459573838061,-1.61312717587908,-1.04242338044138,-0.217030471128952,0.925818499724256,-1.74373420810275,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.853360324278149,-1.62987224862419,-1.14064356536643,-0.410024779025574,0.925818499724256,-1.80498821855889,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.419018464682896,-1.69685253960466,-0.993313287978857,-0.796013394818817,0.925818499724256,-1.78967471594486,-0.655094322050534,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.312668538936348,-1.71359761234977,-1.04242338044138,-0.603019086922196,0.925818499724256,-1.82795847247994,-0.643583480893713,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",-0.372315038919965,-1.62149971225164,-1.53352430506661,-1.18200201061206,0.807455599094127,-2.02703400646238,-0.390344975443652,-0.13179236064462,-0.171881281153552,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
